"sno","occupation_title","nco_2015","nco_2004","division","subdivision","group","family"
"1008","Laser Supervisor","3122.6505","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1009","Stock House Foreman","3122.0300","8128.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1010","Plastic Moulding Shop Supervisor","3122.2200","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1011","Supervisor and Foreman, Tobacco Preparation, Cigar and Cigarette Making","3122.3800","8279.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1012","Supervisor and Foreman, Machinery Fitting and Repairing","3122.5200","7238.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1013","Bruting Supervisor","3122.6506","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1014","Plumbing Supervisor","3123.0302","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1015","Electrical Supervisor, Wiring,","3123.0400","7138.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1016","Supervisor and Foreman, Painting","3123.0500","7148.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1017","Painting and Surface Treatment Line In-Charge","3123.0600","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1018","Painting Supervisor","3123.0700","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1019","Supervisors and Foremen and Related Trades Workers in Painting, Building Structure Cleaning, Other","3123.9900","7148.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1020","Work Supervisor, Construction","3123.0100","7138.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1021","Supervisor and Foreman, Insulation","3123.0200","7138.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1022","Supervisor and Foreman, Plumbing and Pipe Fitting","3123.0300","7138.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1023","Plumbing Foreman","3123.0301","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Construction Supervisors"
"1024","Load Dispatcher","3131.1100","8161.80","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1025","Power Production Plant Operators, Other","3131.9900","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1026","Stationary Engine Driver, Steam","3131.0100","8161.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1027","Stationary Engine Driver, Internal Combustion","3131.0200","8161.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1028","Turbine Operator, Steam","3131.0300","8161.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1029","Turbine Operator, Hydel","3131.0400","8161.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1030","Power Plant Operator","3131.0500","8161.45","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1031","Electrical Switch Board Operator","3131.0600","8161.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1032","Oiler and Greaser, Stationary Engine and Machinery","3131.0700","8161.60","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1033","Nuclear Plant Control Operator","3131.0800","8161.65","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1034","Breaker Tender","3131.0900","8161.70","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1035","Hopper Attendant/Hopper Machine Operator","3131.1000","8161.72","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Power Production Plant Operators"
"1036","Ice Maker","3132.0100","8163.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Incinerator and Water Treatment Plant Operators"
"1037","Reservoir Caretaker","3132.0200","8163.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Incinerator and Water Treatment Plant Operators"
"1038","Gas-Compressor Operator","3132.0300","8163.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Incinerator and Water Treatment Plant Operators"
"1039","Wastewater Treatment Plant Operator","3132.0400","8163.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Incinerator and Water Treatment Plant Operators"
"1040","Heating Plant Superintendent","3132.0500","8163.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Process Control Technicians","Incinerator and Water Treatment Plant Operators"
